service_id,name,description,category
S001,App Store,Digital distribution platform for iOS applications,Digital Services
S002,Apple Music,Music and video streaming subscription service,Streaming
S003,iCloud,Cloud storage and cloud computing service,Cloud Services
S004,Office 365,Subscription-based productivity software suite,Productivity
S005,LinkedIn,Professional networking and career development platform,Social Media
S006,Xbox Game Pass,Video game subscription service,Gaming
S007,CUDA,Parallel computing platform and programming model,Developer Tools
S008,NVIDIA AI Enterprise,Software suite for AI development and deployment,AI Platform
S009,Google Cloud,Cloud computing services and infrastructure,Cloud Services
S010,YouTube,Video sharing and streaming platform,Streaming
S011,Amazon Web Services,Comprehensive cloud computing platform,Cloud Services
S012,Prime,Membership program with shipping and streaming benefits,Subscription
