product_id,name
P001,A-to-z Guarantee
P002,A100 Integrated Circuit
P003,A100X
P004,A800
P005,AGX
P006,AI Cloud Services
P007,"AI Frameworks, SDKs, and APIs"
P008,AI Innovations
P009,AI Platform Services
P010,AI Products and Services
P011,AI Services
P012,AI Skills Initiative
P013,AI Technologies and Associated Products
P014,AI and Machine Learning Platform
P015,AI-powered Productivity Services
P016,AWS
P017,Accelerated Computing Platform
P018,Accessories
P019,Ada Lovelace Architecture
P020,Adapter Card Products and Switch Systems
P021,AirPods
P022,Amazon Bedrock
P023,Amazon CodeWhisperer
P024,Amazon Prime
P025,Amazon Stores
P026,App Store
P027,Apple Arcade
P028,Apple Card
P029,Apple Fitness+
P030,Apple Music
P031,Apple News+
P032,Apple Pay
P033,Apple TV
P034,Apple TV 4K
P035,Apple TV+
P036,Apple Vision Pro
P037,Apple Watch
P038,Apple Watch Series 9
P039,Apple Watch Ultra 2
P040,AppleCare
P041,Automotive AI Cockpit
P042,Azure
P043,Azure AI
P044,Azure AI Platform
P045,Azure Arc
P046,Azure IoT Edge
P047,Azure Orbital
P048,Backbone Gas Transmission Service
P049,Beats
P050,Bing
P051,Bing Chat
P052,Blink
P053,Braintree
P054,Braintree (Unbranded Card Processing)
P055,Branded Credit Card
P056,Branded Debit Card
P057,Bundled Customer Electricity Supply
P058,Bundled Electric Service
P059,Bundled Gas Sales
P060,Buy Now Pay Later
P061,Buy Now Pay Later / Installment Methods
P062,"Buy Now, Pay Later"
P063,CARE Program
P064,CMP (Cryptocurrency Mining Processors)
P065,CPU
P066,CUDA
P067,CUDA Parallel Programming Model
P068,CUDA-X Application Acceleration Libraries
P069,Card Readers and Point of Sale Devices
P070,Cellular Handsets
P071,Co-Branded Credit Card Programs
P072,Compute & Networking
P073,Consulting Services
P074,Consumer Credit Products
P075,Consumer Installment Loans
P076,Consumer Interest-Bearing Installment Products
P077,Consumer Loans
P078,Consumer Receivables - Revolving Products
P079,Consumer Short-Term Installment Loan
P080,Consumer Short-Term Interest-Free Installment Product (Australia)
P081,Consumer Short-Term Interest-Free Installment Product (US)
P082,"Consumer Short-Term Interest-Free Installment Products (UK, France, Germany, Spain, Italy)"
P083,Core PayPal
P084,Credit Products
P085,Cryptocurrency Custodial Services
P086,Cryptocurrency Offerings
P087,Cryptocurrency Products
P088,Cryptocurrency Purchase and Sale
P089,Cryptocurrency Services
P090,Cryptocurrency Transactions
P091,Customer Protection Programs
P092,DGX AI Supercomputer
P093,DGX Systems
P094,DOCA
P095,DPU (Data Processing Unit)
P096,DRIVE
P097,DRIVE AGX
P098,DRIVE Chauffeur
P099,DRIVE Hyperion
P100,DRIVE Software
P101,Deep Learning Institute
P102,Dev Home
P103,Diablo Canyon Nuclear Generation Facility
P104,Diablo Canyon Nuclear Power Plant
P105,Diablo Canyon Unit 1
P106,Diablo Canyon Unit 2
P107,Digital Payments Platform
P108,Digital Wallet
P109,Dynamics 365
P110,Dynamics Business Solutions
P111,Eclipse
P112,Elkhorn Battery Energy Storage System
P113,End-to-End Payments Solution for Merchants
P114,Enhanced Powerline Safety Settings (EPSS)
P115,Enterprise Agreement
P116,Enterprise Mobility + Security
P117,Enterprise Services
P118,Enterprise Support Services
P119,Ethernet Network Adapters and Switches
P120,Exchange Server
P121,Fire TV
P122,Fire Tablet
P123,Fossil Fuel-Fired Generation - Colusa Generating Station
P124,Fossil Fuel-Fired Generation - Gateway Generating Station
P125,Fossil Fuel-Fired Generation - Humboldt Bay Generating Station
P126,Fulfillment by Amazon
P127,GPT-4 services
P128,Gaming - Cloud Gaming
P129,Gaming - Console
P130,Gaming - Mobile
P131,Gaming - PC
P132,Gaming GPUs
P133,Gaming Platform
P134,Gas Delivery Service
P135,Gas Service
P136,Gas Storage Service
P137,Gas Transmission and Storage
P138,Gateway Services
P139,GeForce Experience
P140,GeForce GPU
P141,GeForce GTX GPUs
P142,GeForce NOW
P143,GeForce NOW Ultimate
P144,GeForce Platform
P145,GeForce RTX 40 Series
P146,GeForce RTX 4070 Ti
P147,GeForce RTX 4080
P148,GeForce RTX 4090
P149,GeForce RTX GPUs
P150,Geothermal Energy
P151,GitHub
P152,GitHub Copilot
P153,Grace CPU
P154,H100 GPU
P155,H100 Integrated Circuit
P156,H100 integrated circuits
P157,HGX
P158,HoloLens
P159,HomePod
P160,HomePod (second-generation)
P161,Hyperwallet
P162,IGX
P163,Inception Program
P164,Industry Solutions
P165,InfiniBand Network Adapters and Switches
P166,Intelligent Cloud
P167,Jetson for robotics and embedded platforms
P168,Kindle
P169,LHR GeForce GPU
P170,LinkedIn
P171,LinkedIn Learning (Generative AI Pathway)
P172,LinkedIn Marketing Solutions
P173,LinkedIn Premium Subscriptions
P174,LinkedIn Sales Solutions
